Order ID,Date,Product Name,Category,Quantity Sold,Unit Price,Total Sales,Discount (%),Profit Margin (%),Customer ID,Customer Age,Customer Gender,Region,Payment Method,Order Status,Shipping Cost
25,2025-02-16,Vacuum Cleaner,Home Appliances,1,90.4,90.4,14.11,27.93,9794,28,Male,North,Debit Card,Pending,38.83
26,2024-08-16,Shampoo,Beauty,5,386.19,1930.95,17.13,6.76,8538,65,Other,South,Cash,Pending,36.78
27,2024-03-08,Air Conditioner,Home Appliances,1,469.59,469.59,3.35,11.55,3483,32,Female,East,Bank Transfer,Completed,27.45
28,2024-06-18,Sneakers,Clothing,5,368.27,1841.35,0.67,12.16,3955,40,Female,North,Credit Card,Cancelled,42.39
29,2024-03-22,Dress,Clothing,7,270.74,1895.18,14.81,25.63,7264,65,Other,North,Credit Card,Returned,41.67
30,2025-01-14,Vacuum Cleaner,Home Appliances,8,318.47,2547.76,18.26,15.83,1935,54,Female,South,Debit Card,Returned,23.0
31,2024-06-25,Smartwatch,Electronics,2,181.49,362.98,13.76,24.67,1211,60,Male,East,PayPal,Pending,36.01
32,2024-03-24,Sneakers,Clothing,3,439.2,1317.6,1.01,18.24,9655,30,Male,South,Debit Card,Cancelled,21.19
33,2024-03-20,T-Shirt,Clothing,1,87.94,87.94,6.27,12.89,4809,25,Other,South,Credit Card,Pending,36.05
34,2024-10-06,Tablet,Electronics,7,99.72,698.04,0.97,18.6,8630,26,Female,West,PayPal,Cancelled,31.47
35,2024-09-14,Headphones,Electronics,6,297.53,1785.18,18.53,28.65,7176,40,Other,North,Credit Card,Completed,48.94
36,2024-11-13,Microwave,Home Appliances,9,442.22,3979.98,16.36,19.29,2588,45,Male,East,Debit Card,Completed,39.51
37,2024-12-20,Vacuum Cleaner,Home Appliances,2,355.96,711.92,8.62,29.82,3083,56,Male,South,PayPal,Pending,28.9
38,2024-07-30,Laptop,Electronics,9,259.78,2338.02,11.97,22.02,6549,55,Other,West,Bank Transfer,Shipped,25.14
39,2025-02-03,Dress,Clothing,2,314.9,629.8,12.27,23.57,7344,47,Other,East,Credit Card,Shipped,17.13
40,2024-08-01,Face Cream,Beauty,3,397.69,1193.07,9.0,10.48,5590,48,Other,North,Debit Card,Pending,44.82
41,2024-09-26,Headphones,Electronics,8,438.88,3511.04,12.98,8.51,9288,35,Other,South,Bank Transfer,Pending,5.91
42,2024-06-24,Jeans,Clothing,5,444.69,2223.45,19.64,22.38,9862,51,Male,West,Bank Transfer,Shipped,20.35
43,2025-01-10,Washing Machine,Home Appliances,1,451.17,451.17,2.7,25.64,7477,22,Female,South,Cash,Pending,28.21
44,2024-06-12,Headphones,Electronics,9,335.44,3018.96,1.59,16.73,7697,43,Other,South,Debit Card,Cancelled,20.4
45,2024-04-08,Vacuum Cleaner,Home Appliances,3,181.04,543.12,8.62,11.48,5509,44,Other,North,PayPal,Completed,14.45
46,2025-01-11,Headphones,Electronics,5,152.93,764.65,16.88,29.7,8061,22,Male,East,PayPal,Cancelled,37.78
47,2024-03-29,Lipstick,Beauty,1,296.73,296.73,10.04,16.35,4148,46,Male,East,Credit Card,Returned,46.78
48,2025-01-15,Dress,Clothing,10,453.67,4536.7,4.51,24.23,7796,34,Male,North,Cash,Pending,43.35
49,2024-09-02,Jeans,Clothing,8,164.4,1315.2,17.78,28.32,6743,58,Male,North,Cash,Returned,10.62
50,2024-03-29,Vacuum Cleaner,Home Appliances,10,149.69,1496.9,8.07,5.78,4678,37,Male,West,PayPal,Completed,42.83
51,2024-12-13,Microwave,Home Appliances,10,363.39,3633.9,5.27,6.42,5167,47,Female,West,PayPal,Shipped,21.69
52,2024-03-11,Microwave,Home Appliances,7,405.75,2840.25,13.59,9.92,8722,18,Male,South,PayPal,Completed,19.16
53,2024-11-26,Vacuum Cleaner,Home Appliances,8,11.68,93.44,5.1,28.97,7185,51,Female,North,Cash,Cancelled,41.18
54,2024-09-03,Perfume,Beauty,2,452.02,904.04,13.97,8.31,4275,46,Male,South,Bank Transfer,Cancelled,27.8
55,2024-08-30,Lipstick,Beauty,9,489.28,4403.52,8.25,16.25,6561,25,Other,West,PayPal,Shipped,5.2
56,2024-09-07,Jeans,Clothing,7,405.36,2837.52,3.01,17.06,6500,40,Male,West,Bank Transfer,Shipped,20.72
57,2024-10-28,Smartwatch,Electronics,4,359.31,1437.24,18.54,5.68,1186,65,Female,East,Credit Card,Shipped,8.17
58,2024-11-25,T-Shirt,Clothing,7,68.6,480.2,6.68,20.64,6926,48,Other,West,PayPal,Cancelled,45.83
59,2024-08-24,Jeans,Clothing,3,150.55,451.65,9.91,25.08,1758,23,Male,West,Credit Card,Cancelled,33.85
60,2024-05-11,Dress,Clothing,5,124.46,622.3,8.84,18.93,2706,36,Female,South,Debit Card,Pending,14.81
61,2024-11-02,Jacket,Clothing,4,378.42,1513.68,15.47,28.56,8189,63,Female,West,PayPal,Completed,48.55
62,2024-08-23,Sneakers,Clothing,2,232.13,464.26,14.99,12.02,8939,18,Male,West,PayPal,Pending,25.3
63,2024-04-11,Jacket,Clothing,4,267.88,1071.52,4.54,14.48,7236,36,Male,West,Cash,Pending,27.04
64,2024-08-14,Perfume,Beauty,1,42.69,42.69,19.24,17.41,3337,50,Other,East,Cash,Pending,27.14
65,2024-10-29,Perfume,Beauty,3,353.95,1061.85,18.06,24.25,4843,40,Male,South,Credit Card,Completed,39.86
66,2024-11-09,Laptop,Electronics,3,244.57,733.71,16.42,5.59,5293,59,Female,North,Bank Transfer,Shipped,21.35
67,2024-04-12,Dress,Clothing,10,361.66,3616.6,11.76,17.24,6805,46,Female,East,Credit Card,Returned,14.46
68,2024-06-02,Microwave,Home Appliances,1,235.53,235.53,15.12,16.58,1481,26,Other,North,Bank Transfer,Pending,9.97
69,2024-11-24,Refrigerator,Home Appliances,6,335.17,2011.02,2.18,8.13,9543,61,Male,West,Credit Card,Cancelled,31.29
70,2024-07-17,Jacket,Clothing,8,235.97,1887.76,18.8,10.34,2453,56,Other,East,Cash,Completed,29.85
71,2024-03-06,Conditioner,Beauty,9,186.87,1681.83,17.64,7.89,8883,55,Female,South,Debit Card,Cancelled,44.23
72,2025-01-20,Face Cream,Beauty,6,336.57,2019.42,3.68,27.36,9732,57,Female,North,Credit Card,Shipped,19.67
73,2024-05-18,Conditioner,Beauty,2,365.5,731.0,2.06,22.23,6043,57,Female,North,Cash,Shipped,33.41
74,2024-03-09,Jeans,Clothing,4,78.18,312.72,10.32,20.97,1208,34,Female,South,Debit Card,Cancelled,38.44
75,2024-10-31,Face Cream,Beauty,2,423.44,846.88,17.29,6.57,7876,23,Female,East,Cash,Completed,46.23
76,2024-07-31,Washing Machine,Home Appliances,7,152.11,1064.77,12.07,25.1,6737,26,Female,South,Debit Card,Pending,21.63
77,2024-11-12,Smartwatch,Electronics,5,494.81,2474.05,1.99,21.23,2752,25,Male,West,Bank Transfer,Shipped,8.87
78,2024-04-18,Vacuum Cleaner,Home Appliances,1,473.45,473.45,14.84,26.31,1512,38,Male,North,PayPal,Completed,43.01
79,2024-05-21,Shampoo,Beauty,10,357.58,3575.8,7.52,7.99,6538,26,Other,East,Bank Transfer,Cancelled,44.2
80,2024-09-29,Face Cream,Beauty,4,241.97,967.88,3.36,24.28,6226,44,Male,West,Bank Transfer,Shipped,36.76
81,2024-10-20,Face Cream,Beauty,5,359.43,1797.15,17.1,7.41,4951,47,Male,West,Cash,Completed,26.05
82,2024-07-25,Laptop,Electronics,4,134.12,536.48,17.97,26.26,4976,40,Other,West,PayPal,Cancelled,30.31
83,2024-11-27,Headphones,Electronics,3,393.54,1180.62,12.55,8.03,9422,31,Female,North,Credit Card,Cancelled,34.05
84,2024-04-05,Laptop,Electronics,2,157.22,314.44,7.92,8.06,2800,64,Female,South,Cash,Cancelled,45.3
85,2024-04-09,Vacuum Cleaner,Home Appliances,7,36.63,256.41,15.14,27.83,3501,32,Female,North,Credit Card,Shipped,27.58
86,2024-07-08,T-Shirt,Clothing,2,300.57,601.14,2.35,15.22,5028,60,Male,East,Credit Card,Returned,33.54
87,2025-02-02,Vacuum Cleaner,Home Appliances,10,296.56,2965.6,16.34,5.53,9693,22,Other,West,Bank Transfer,Shipped,18.75
88,2024-05-06,Dress,Clothing,5,353.96,1769.8,17.92,16.65,2783,56,Female,South,Bank Transfer,Cancelled,39.17
89,2024-09-13,Jeans,Clothing,1,160.46,160.46,19.31,25.41,8652,34,Female,East,Debit Card,Completed,23.68
90,2024-05-20,Lipstick,Beauty,10,243.04,2430.4,9.65,20.0,7094,58,Female,West,Bank Transfer,Pending,40.95
91,2025-01-11,T-Shirt,Clothing,5,463.63,2318.15,7.45,7.1,4807,34,Male,South,PayPal,Shipped,31.77
92,2025-02-03,Lipstick,Beauty,4,381.09,1524.36,1.91,23.33,7087,61,Other,South,Debit Card,Pending,30.86
93,2024-12-07,Dress,Clothing,5,393.91,1969.55,2.86,5.69,8893,39,Other,West,Cash,Returned,6.29
94,2024-09-18,Dress,Clothing,4,466.63,1866.52,1.68,7.31,5990,50,Male,South,PayPal,Completed,17.13
95,2024-09-29,Face Cream,Beauty,8,83.89,671.12,1.62,29.5,3802,51,Other,South,Debit Card,Pending,5.98
96,2024-07-11,Sneakers,Clothing,7,245.58,1719.06,7.58,23.95,4112,63,Male,South,Debit Card,Pending,9.57
97,2024-03-13,Tablet,Electronics,10,274.33,2743.3,11.52,21.71,7032,39,Female,North,Debit Card,Shipped,6.63
98,2024-08-01,Laptop,Electronics,4,385.32,1541.28,11.95,14.34,1359,47,Other,West,Bank Transfer,Cancelled,19.1
99,2024-08-28,Dress,Clothing,2,462.29,924.58,17.47,23.82,7014,52,Female,East,Cash,Shipped,33.05
100,2024-10-20,Washing Machine,Home Appliances,5,73.95,369.75,5.5,8.1,6531,35,Other,South,Cash,Completed,14.91
101,2024-06-09,Smartwatch,Electronics,2,36.57,73.14,7.96,27.58,4570,44,Other,South,Bank Transfer,Shipped,13.78
102,2024-11-07,Microwave,Home Appliances,1,485.48,485.48,13.29,22.63,2331,62,Male,East,PayPal,Returned,20.79
103,2024-06-11,Vacuum Cleaner,Home Appliances,8,33.91,271.28,18.29,24.41,6375,19,Other,West,PayPal,Returned,29.38
104,2024-07-18,Conditioner,Beauty,2,445.76,891.52,8.78,26.5,2932,63,Female,North,Cash,Cancelled,46.96
105,2024-03-08,Face Cream,Beauty,6,51.91,311.46,7.5,6.79,8087,42,Female,North,PayPal,Completed,27.12
106,2024-09-14,Laptop,Electronics,2,71.11,142.22,13.02,14.52,9167,64,Female,North,Debit Card,Pending,44.76
107,2024-05-02,Microwave,Home Appliances,6,53.64,321.84,18.34,20.59,5167,44,Other,West,Credit Card,Pending,22.58
108,2024-09-11,Dress,Clothing,4,23.99,95.96,1.72,6.85,2067,45,Male,East,Credit Card,Shipped,8.36
109,2024-09-20,Lipstick,Beauty,2,384.82,769.64,13.23,27.85,6482,32,Other,South,Bank Transfer,Completed,9.58
110,2025-02-02,Lipstick,Beauty,3,45.5,136.5,12.21,24.55,2925,19,Other,North,Cash,Cancelled,44.86
111,2025-01-10,Conditioner,Beauty,7,140.99,986.93,7.3,11.04,3733,58,Other,North,Credit Card,Shipped,46.13
112,2024-05-27,Laptop,Electronics,4,76.28,305.12,8.99,20.96,6964,50,Other,North,PayPal,Returned,14.09
113,2024-09-29,Tablet,Electronics,9,191.34,1722.06,12.87,7.46,1257,44,Other,South,PayPal,Cancelled,14.54
114,2024-03-04,Sneakers,Clothing,6,317.29,1903.74,8.46,20.22,3413,22,Other,North,Debit Card,Cancelled,43.53
115,2024-06-06,Face Cream,Beauty,9,291.06,2619.54,4.6,29.26,6172,57,Male,East,Bank Transfer,Shipped,29.89
116,2024-10-18,Face Cream,Beauty,10,173.55,1735.5,1.95,10.31,3214,39,Female,West,Bank Transfer,Cancelled,43.56
117,2024-02-27,T-Shirt,Clothing,1,381.12,381.12,17.72,23.3,7041,35,Female,North,Bank Transfer,Cancelled,44.84
118,2024-03-04,Conditioner,Beauty,9,373.37,3360.33,4.49,18.22,7359,25,Female,East,PayPal,Shipped,27.18
119,2024-08-20,Laptop,Electronics,3,429.85,1289.55,3.8,17.19,1120,55,Other,East,Debit Card,Pending,22.82
120,2024-03-06,Conditioner,Beauty,7,412.45,2887.15,2.02,18.61,1221,34,Male,West,Credit Card,Pending,45.49
121,2024-04-23,Lipstick,Beauty,6,428.26,2569.56,8.09,20.34,5442,34,Other,West,PayPal,Returned,11.8
122,2024-12-14,Laptop,Electronics,10,322.03,3220.3,3.93,22.62,1407,30,Other,West,Credit Card,Completed,38.23
123,2024-04-27,Laptop,Electronics,6,257.54,1545.24,14.07,16.68,9142,41,Male,South,Bank Transfer,Shipped,42.67
124,2024-05-19,Jeans,Clothing,9,193.84,1744.56,11.21,10.82,7877,33,Male,West,Credit Card,Completed,28.45
125,2024-08-21,Refrigerator,Home Appliances,6,201.73,1210.38,10.43,7.99,5386,61,Other,East,Bank Transfer,Returned,13.73
126,2025-02-10,Microwave,Home Appliances,6,63.71,382.26,15.93,18.14,3939,42,Other,North,PayPal,Pending,32.67
127,2024-07-02,Jacket,Clothing,9,95.83,862.47,17.88,17.69,3582,47,Other,East,Debit Card,Cancelled,42.34
128,2024-02-22,Lipstick,Beauty,8,431.66,3453.28,7.93,24.84,9578,55,Male,South,Debit Card,Shipped,36.49
129,2025-01-06,Tablet,Electronics,1,228.6,228.6,9.58,23.58,8469,42,Male,East,Debit Card,Shipped,46.34
130,2024-09-14,Jacket,Clothing,1,141.35,141.35,1.92,9.47,2404,44,Other,East,Credit Card,Completed,46.51
131,2025-01-10,Face Cream,Beauty,5,379.08,1895.4,16.78,10.43,8243,53,Male,East,PayPal,Cancelled,30.88
132,2024-12-11,Shampoo,Beauty,2,446.98,893.96,11.53,20.18,7452,44,Female,South,Bank Transfer,Pending,38.48
133,2024-11-11,Tablet,Electronics,10,204.64,2046.4,11.95,10.69,1451,28,Male,East,Credit Card,Returned,15.93
134,2024-11-27,Jacket,Clothing,4,344.54,1378.16,9.67,12.03,2769,55,Other,North,Debit Card,Returned,19.34
135,2025-01-21,Laptop,Electronics,3,421.1,1263.3,17.5,15.34,5479,37,Male,North,Credit Card,Completed,49.21
136,2024-05-29,Washing Machine,Home Appliances,1,246.47,246.47,14.14,7.66,2308,26,Other,South,Credit Card,Returned,18.5
137,2024-08-18,Lipstick,Beauty,4,294.17,1176.68,17.08,23.46,1473,28,Female,North,PayPal,Completed,48.84
138,2024-10-07,Washing Machine,Home Appliances,2,163.68,327.36,11.06,11.58,1779,24,Male,South,Bank Transfer,Pending,44.73
139,2024-06-21,Microwave,Home Appliances,9,146.62,1319.58,7.14,26.14,7782,27,Other,West,Bank Transfer,Cancelled,44.68
140,2024-12-02,Vacuum Cleaner,Home Appliances,2,103.56,207.12,15.35,20.12,5323,54,Male,North,Cash,Shipped,48.09
141,2024-04-16,Refrigerator,Home Appliances,8,359.73,2877.84,6.89,24.59,6989,39,Female,West,Debit Card,Returned,45.26
142,2024-09-01,Laptop,Electronics,7,187.88,1315.16,16.17,24.37,4367,64,Other,North,Bank Transfer,Pending,16.27
143,2024-12-31,Face Cream,Beauty,10,99.96,999.6,4.16,7.54,7204,46,Other,South,Credit Card,Shipped,10.9
144,2024-08-27,T-Shirt,Clothing,4,30.9,123.6,7.39,15.07,9713,33,Female,South,Bank Transfer,Completed,34.79
145,2024-11-27,Conditioner,Beauty,10,374.22,3742.2,7.61,16.48,1324,46,Male,West,Bank Transfer,Cancelled,27.12
146,2025-02-20,Air Conditioner,Home Appliances,5,428.09,2140.45,10.67,19.29,6821,54,Female,South,Bank Transfer,Cancelled,13.83
147,2024-10-31,Air Conditioner,Home Appliances,1,270.87,270.87,1.17,15.53,7159,45,Other,North,PayPal,Completed,26.81
148,2025-01-07,Smartwatch,Electronics,3,177.17,531.51,0.21,28.05,9838,28,Other,South,Cash,Cancelled,30.23
149,2024-11-28,Laptop,Electronics,9,263.85,2374.65,3.28,19.04,3436,52,Female,North,Debit Card,Returned,22.3
150,2024-03-16,Smartwatch,Electronics,5,322.43,1612.15,6.32,7.77,4213,32,Female,South,Debit Card,Completed,37.44
151,2025-02-12,Shampoo,Beauty,2,54.48,108.96,18.69,9.65,6300,55,Male,West,Cash,Shipped,40.1
152,2024-06-12,Headphones,Electronics,4,118.62,474.48,11.02,7.75,1191,41,Female,East,Debit Card,Cancelled,20.62
153,2025-02-02,Jeans,Clothing,9,265.54,2389.86,10.94,15.2,9870,60,Other,North,PayPal,Pending,9.25
154,2024-11-10,Face Cream,Beauty,4,402.63,1610.52,5.52,29.14,5029,25,Male,East,Credit Card,Shipped,48.78
155,2025-02-09,Refrigerator,Home Appliances,4,139.84,559.36,13.2,6.61,9238,49,Male,East,Bank Transfer,Returned,49.03
156,2024-07-25,Sneakers,Clothing,6,267.18,1603.08,12.45,25.92,9757,20,Male,East,Debit Card,Completed,39.66
157,2024-07-17,Smartphone,Electronics,4,302.5,1210.0,5.23,26.58,4605,55,Other,West,Cash,Cancelled,41.22
158,2025-02-05,Perfume,Beauty,1,218.97,218.97,13.06,9.61,3654,25,Male,South,Debit Card,Cancelled,8.43
159,2025-01-30,Jacket,Clothing,3,274.77,824.31,12.15,16.03,1310,48,Male,North,Debit Card,Returned,25.59
160,2025-02-13,Smartwatch,Electronics,8,349.96,2799.68,14.39,28.35,9937,61,Female,West,Credit Card,Shipped,31.89
161,2024-10-21,Sneakers,Clothing,8,219.07,1752.56,1.12,22.66,1357,51,Other,East,Cash,Shipped,25.19
162,2024-12-06,Perfume,Beauty,6,42.91,257.46,16.99,15.42,5226,47,Female,South,Cash,Pending,7.51
163,2024-03-10,Washing Machine,Home Appliances,9,178.75,1608.75,9.21,19.06,9119,52,Male,North,Bank Transfer,Cancelled,8.33
164,2024-03-27,Sneakers,Clothing,10,120.23,1202.3,6.51,23.18,3318,55,Male,East,Debit Card,Pending,14.9
165,2024-03-26,Headphones,Electronics,1,141.95,141.95,11.98,14.56,2110,41,Female,West,PayPal,Completed,13.79
166,2024-11-26,Tablet,Electronics,6,185.13,1110.78,16.44,19.68,5679,27,Female,North,Cash,Completed,49.12
167,2024-03-04,Headphones,Electronics,9,222.45,2002.05,0.22,27.14,8973,37,Female,South,Cash,Cancelled,49.34
168,2024-05-06,Lipstick,Beauty,3,234.96,704.88,6.54,11.41,7932,65,Other,North,Credit Card,Completed,27.01
169,2024-03-10,T-Shirt,Clothing,4,323.77,1295.08,17.57,20.7,2479,42,Female,West,Credit Card,Shipped,39.39
170,2024-03-12,T-Shirt,Clothing,8,26.88,215.04,13.13,17.76,2291,37,Male,West,Bank Transfer,Completed,33.44
171,2024-03-30,Headphones,Electronics,5,411.58,2057.9,16.31,5.44,8765,33,Other,West,Debit Card,Cancelled,5.18
172,2024-09-15,Washing Machine,Home Appliances,2,437.65,875.3,6.27,11.12,5005,22,Female,East,PayPal,Cancelled,41.94
173,2024-05-21,Jacket,Clothing,4,44.99,179.96,2.74,21.69,4904,44,Male,South,PayPal,Cancelled,26.36
174,2024-09-20,Headphones,Electronics,4,240.09,960.36,10.43,23.5,8136,24,Female,North,Cash,Returned,10.84
175,2024-02-22,Face Cream,Beauty,7,37.76,264.32,16.96,19.82,7083,35,Male,West,Bank Transfer,Pending,13.51
176,2024-07-22,Sneakers,Clothing,5,20.15,100.75,9.37,20.65,2558,51,Male,North,Cash,Completed,9.98
177,2025-02-03,Jacket,Clothing,2,341.3,682.6,6.67,26.33,6410,59,Female,South,PayPal,Completed,31.47
178,2024-09-22,Washing Machine,Home Appliances,6,206.89,1241.34,12.92,25.91,2731,43,Other,North,Cash,Cancelled,35.22
179,2024-11-04,Vacuum Cleaner,Home Appliances,1,315.5,315.5,10.01,21.92,6100,52,Other,West,Credit Card,Completed,49.07
180,2024-05-20,Air Conditioner,Home Appliances,3,56.02,168.06,13.46,23.1,7927,51,Female,West,Bank Transfer,Returned,45.93
181,2024-07-29,Tablet,Electronics,3,265.19,795.57,8.66,28.24,4385,37,Other,East,Bank Transfer,Returned,29.2
182,2024-08-11,Smartphone,Electronics,2,239.79,479.58,7.19,26.45,4282,27,Other,North,Cash,Returned,36.03
183,2024-08-31,Headphones,Electronics,8,464.4,3715.2,9.24,22.84,5907,19,Other,South,Debit Card,Shipped,34.84
184,2024-12-12,Dress,Clothing,6,465.19,2791.14,1.65,28.78,8776,47,Other,North,PayPal,Cancelled,10.08
185,2024-08-04,Vacuum Cleaner,Home Appliances,7,289.1,2023.7,14.18,5.73,3163,26,Female,North,Cash,Pending,23.7
186,2024-10-30,Laptop,Electronics,6,282.0,1692.0,13.83,5.45,2132,40,Female,West,Cash,Shipped,12.54
187,2024-09-16,Laptop,Electronics,5,317.66,1588.3,11.15,19.57,5440,46,Female,South,Bank Transfer,Shipped,9.88
188,2024-12-27,Laptop,Electronics,8,143.49,1147.92,14.16,15.98,8290,65,Other,West,Bank Transfer,Returned,22.69
189,2024-02-26,Perfume,Beauty,3,157.81,473.43,19.22,23.32,4745,54,Male,East,Debit Card,Completed,12.29
190,2024-03-13,Refrigerator,Home Appliances,6,370.1,2220.6,13.64,26.53,9889,30,Male,South,PayPal,Returned,22.89
191,2024-08-22,Sneakers,Clothing,5,396.76,1983.8,1.04,14.34,3735,45,Female,South,Bank Transfer,Returned,32.34
192,2024-04-28,Tablet,Electronics,1,134.28,134.28,14.71,10.34,7904,20,Male,East,PayPal,Shipped,32.47
193,2024-07-28,Face Cream,Beauty,6,59.32,355.92,5.15,10.31,1364,60,Other,North,Bank Transfer,Completed,19.43
194,2024-02-27,Face Cream,Beauty,5,345.61,1728.05,6.51,20.87,9669,19,Female,North,Debit Card,Shipped,31.88
195,2025-01-28,Tablet,Electronics,8,64.66,517.28,18.11,10.28,1158,42,Other,North,Bank Transfer,Pending,19.59
196,2025-01-24,Face Cream,Beauty,9,67.71,609.39,15.43,29.89,8707,25,Other,East,Debit Card,Cancelled,37.11
197,2024-12-09,Tablet,Electronics,2,256.56,513.12,2.6,28.69,5897,30,Other,West,Credit Card,Cancelled,30.74
198,2024-02-23,Lipstick,Beauty,10,331.35,3313.5,2.46,22.63,3598,42,Other,North,Credit Card,Cancelled,35.08
199,2024-06-18,Microwave,Home Appliances,3,438.72,1316.16,5.21,22.34,9927,36,Other,West,PayPal,Cancelled,16.54
200,2025-02-03,Conditioner,Beauty,4,376.72,1506.88,7.23,7.32,3932,45,Other,South,Credit Card,Returned,44.14
201,2024-05-30,Face Cream,Beauty,9,134.7,1212.3,8.23,19.59,9910,45,Female,East,Cash,Pending,24.25
202,2024-06-21,T-Shirt,Clothing,4,217.63,870.52,16.43,21.37,8674,43,Female,West,Debit Card,Returned,48.91
203,2024-09-27,T-Shirt,Clothing,10,433.49,4334.9,7.11,15.17,6933,48,Male,East,Cash,Returned,25.64
204,2024-03-13,Sneakers,Clothing,6,385.83,2314.98,18.03,21.24,9925,61,Other,West,Bank Transfer,Returned,48.56
205,2024-05-22,Smartphone,Electronics,1,422.13,422.13,7.86,29.4,1060,51,Female,South,Debit Card,Pending,49.84
206,2024-06-18,Refrigerator,Home Appliances,9,329.15,2962.35,3.24,27.43,7192,24,Other,South,PayPal,Cancelled,31.69
207,2024-09-26,Perfume,Beauty,8,270.07,2160.56,8.41,23.41,3819,63,Other,West,Debit Card,Cancelled,37.09
208,2024-06-16,T-Shirt,Clothing,10,214.65,2146.5,0.27,15.73,9864,61,Male,East,Bank Transfer,Shipped,42.29
209,2024-11-17,Smartphone,Electronics,2,141.7,283.4,18.43,6.24,5734,19,Other,North,PayPal,Completed,12.64
210,2024-09-15,Face Cream,Beauty,3,408.87,1226.61,11.67,10.03,3689,47,Female,West,Debit Card,Cancelled,32.6
211,2024-06-26,Conditioner,Beauty,10,315.09,3150.9,18.43,15.86,3817,19,Female,West,PayPal,Completed,35.11
212,2024-03-04,Sneakers,Clothing,9,184.29,1658.61,6.24,9.36,1329,65,Male,East,Debit Card,Pending,49.5
213,2024-07-09,Washing Machine,Home Appliances,3,381.96,1145.88,16.66,9.06,8768,51,Male,East,Cash,Shipped,9.38
214,2024-03-24,Perfume,Beauty,10,45.0,450.0,6.89,26.07,7462,27,Female,East,Cash,Returned,19.36
215,2025-01-22,Tablet,Electronics,2,345.88,691.76,5.88,18.27,2777,23,Male,East,Debit Card,Cancelled,37.43
216,2024-08-15,Dress,Clothing,3,22.25,66.75,11.02,19.41,2524,32,Male,South,Bank Transfer,Shipped,37.96
217,2024-11-23,Vacuum Cleaner,Home Appliances,7,312.72,2189.04,19.31,21.69,9216,42,Female,North,Credit Card,Returned,25.33
